model,ver_name,brand
A201XM,#日本版 (SoftBank) #Japan (SoftBank),xiaomi
A2097,#GSM #GSM,apple
A2098,#日本 #Japan,apple
A2099,#中国移动 #China Mobile #中国移动,apple
A2100,#中国大陆 #China mainland #,apple
A2101,#GSM #GSM,apple
A2102,#日本 #Japan,apple
A2103,#中国移动 #China Mobile #中国移动,apple
A2104,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2105,#GSM #GSM,apple
A2106,#日本 #Japan,apple
A2107,#中国移动 #China Mobile #中国移动,apple
A2108,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2111,#北美 #North America,apple
A2160,#北美 #North America,apple
A2161,#北美 #North America,apple
A2172,#美国 #United States,apple
A2176,#美国 #United States,apple
A2215,#其他国家和地区 #Rest of the world,apple
A2216,#中国移动 #China Mobile #中国移动,apple
A2217,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2218,#其他国家和地区 #Rest of the world,apple
A2219,#中国移动 #China Mobile #中国移动,apple
A2220,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2221,#其他国家和地区 #Rest of the world,apple
A2222,#中国移动 #China Mobile #中国移动,apple
A2223,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2275,#北美 #North America,apple
A2296,#其他国家和地区 #Rest of the world,apple
A2297,#中国移动 #China Mobile #中国移动,apple
A2298,#中国大陆 #China mainland #,apple
A2341,#美国 #United States,apple
A2342,#美国 #United States,apple
A2398,"#加拿大，日本 #Canada, Japan",apple
A2399,#其他国家和地区 #Rest of the world,apple
A2400,#中国大陆 #China mainland #,apple
A2402,"#加拿大，日本 #Canada, Japan",apple
A2403,#其他国家和地区 #Rest of the world,apple
A2404,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2406,"#加拿大，日本 #Canada, Japan",apple
A2407,#其他国家和地区 #Rest of the world,apple
A2408,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2410,"#加拿大，日本 #Canada, Japan",apple
A2411,#其他国家和地区 #Rest of the world,apple
A2412,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2481,#美国 #United States,apple
A2482,#美国 #United States,apple
A2483,#美国 #United States,apple
A2484,#美国 #United States,apple
A2595,#北美 #North America,apple
A2626,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2628,#其他国家和地区 #Rest of the world,apple
A2629,#中国大陆 #China mainland #,apple
A2630,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2631,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2632,#美国 #United States,apple
A2633,#其他国家和地区 #Rest of the world,apple
A2634,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2635,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2636,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
